location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,hygiene_risk,inspection_month,inspection_day_of_week
Hingna,Public Washroom,7.2,3.5,48.3,Yes,574,4,2.3,Medium,4,6
Mihan,Public Washroom,3.8,6.7,89.8,Yes,205,6,1.4,High,5,3
Hingna,Mall Washroom,9.4,1.0,19.7,Yes,391,3,4.3,Low,1,2
Civil Lines,Public Washroom,5.8,6.1,79.9,Yes,735,12,6.4,High,5,0
Mihan,Public Washroom,4.1,7.0,56.4,Yes,263,6,36.0,High,8,2
Kamptee Road,Public Washroom,4.5,6.7,58.7,Yes,523,4,4.0,High,7,5
Kamptee Road,School Washroom,6.5,3.4,46.9,Yes,649,4,5.4,Medium,1,3
Mihan,Mall Washroom,5.4,6.0,38.2,Yes,712,6,10.7,High,5,3
Kamptee Road,School Washroom,8.7,2.0,24.0,Yes,535,0,2.8,Low,1,3
Hingna,School Washroom,10.0,3.2,25.3,Yes,302,0,13.4,Low,5,2
Dharampeth,Hospital Washroom,6.4,5.6,43.1,Yes,60,6,5.3,Medium,3,2
Sitabuldi,School Washroom,6.9,1.6,26.7,Yes,757,3,0.5,Low,9,1
Sadar,Transit Washroom,2.8,7.0,73.7,Yes,196,6,2.9,High,4,1
Mihan,Public Washroom,3.6,9.1,59.2,Yes,532,4,18.4,High,3,3
Nagpur Central,Mall Washroom,10.0,3.4,37.9,Yes,773,4,0.8,Low,8,5
Wardha Road,Mall Washroom,8.8,4.3,28.2,Yes,413,1,2.3,Low,2,2
Civil Lines,Public Washroom,5.1,6.7,45.5,Yes,357,3,15.4,Medium,1,0
Mihan,Office Washroom,6.7,6.3,39.4,Yes,583,5,28.7,High,2,5
Sadar,Transit Washroom,3.4,6.6,44.0,Yes,482,5,3.5,High,3,0
Sadar,School Washroom,4.0,8.0,69.7,Yes,553,6,3.6,High,3,6
Dharampeth,School Washroom,4.4,5.7,50.6,Yes,628,5,2.5,Medium,3,6
Dharampeth,Office Washroom,10.0,1.0,1.1,Yes,966,0,4.6,Low,9,5
Manish Nagar,Public Washroom,10.0,1.0,21.0,Yes,415,1,13.3,Low,7,2
Civil Lines,Hospital Washroom,3.8,6.4,67.7,Yes,360,7,5.1,High,4,1
Dharampeth,Mall Washroom,5.5,5.7,61.4,Yes,443,3,8.6,Medium,3,3
Sadar,Office Washroom,5.4,4.7,36.2,Yes,535,4,0.7,Medium,3,1
Manish Nagar,Mall Washroom,9.4,2.2,0.0,Yes,254,1,1.3,Low,9,4
Kamptee Road,Hospital Washroom,8.8,1.0,17.4,Yes,447,0,1.9,Low,7,3
Civil Lines,School Washroom,3.9,8.2,74.4,Yes,580,8,10.4,High,5,4
Dharampeth,Mall Washroom,8.4,1.0,34.3,Yes,531,0,16.2,Low,4,4
Mihan,Public Washroom,4.8,7.5,31.4,Yes,328,6,21.9,High,6,4
Hingna,Mall Washroom,9.7,2.9,24.8,Yes,612,3,10.2,Low,3,5
Mihan,Office Washroom,5.7,6.5,60.2,Yes,484,5,3.5,Medium,8,6
Mihan,Public Washroom,6.9,3.6,33.0,No,176,5,3.3,Medium,3,2
Civil Lines,Office Washroom,7.1,2.9,21.0,Yes,813,4,2.1,Low,3,4
Manish Nagar,Office Washroom,9.3,2.6,20.9,Yes,577,4,3.0,Low,1,4
Sadar,Transit Washroom,9.7,2.9,13.3,Yes,770,4,1.1,Low,7,4
Mihan,Transit Washroom,5.9,5.8,70.7,Yes,547,3,10.3,Medium,2,2
Nagpur Central,School Washroom,6.9,4.4,58.9,Yes,701,3,2.7,Medium,1,4
Manish Nagar,Transit Washroom,7.5,2.4,51.7,Yes,647,3,17.2,Medium,3,4
Dharampeth,Mall Washroom,7.4,2.5,22.3,Yes,700,3,4.5,Low,8,6
Hingna,School Washroom,8.5,3.7,38.2,Yes,236,4,4.2,Low,8,4
Dharampeth,Public Washroom,5.1,5.8,44.1,Yes,413,9,8.7,High,8,0
Dharampeth,School Washroom,6.8,3.7,59.6,Yes,635,3,6.1,Medium,6,3
Wardha Road,Public Washroom,5.1,4.7,72.6,Yes,667,4,25.9,High,6,1
Hingna,Transit Washroom,5.2,5.4,49.7,Yes,299,3,14.0,Medium,4,6
Nagpur Central,Office Washroom,8.8,4.6,18.7,Yes,398,2,19.8,Low,5,6
Dharampeth,Mall Washroom,5.9,7.3,60.4,Yes,333,5,1.2,Medium,1,4
Nagpur Central,Office Washroom,5.8,4.0,47.2,Yes,534,6,2.9,Medium,2,4
Wardha Road,School Washroom,7.8,4.7,26.7,Yes,274,2,5.0,Low,2,5
Nagpur Central,Office Washroom,6.9,5.6,53.4,Yes,243,4,1.9,Medium,1,3
Kamptee Road,Mall Washroom,6.0,5.8,55.0,Yes,558,5,0.5,Medium,7,1
Nagpur Central,School Washroom,5.2,6.0,73.0,Yes,295,7,10.2,High,8,2
Sitabuldi,Transit Washroom,9.7,1.0,0.0,Yes,298,1,4.1,Low,6,1
Kamptee Road,Public Washroom,6.7,2.4,47.0,Yes,334,4,4.3,Low,7,5
Wardha Road,Mall Washroom,5.1,6.6,49.4,Yes,597,7,5.4,High,6,6
Dharampeth,Office Washroom,7.9,4.9,25.7,Yes,565,4,1.4,Low,3,4
Wardha Road,Office Washroom,8.9,1.5,4.3,Yes,493,3,8.6,Low,6,0
Manish Nagar,School Washroom,4.6,5.0,66.4,Yes,514,4,3.3,Medium,2,5
Civil Lines,Transit Washroom,5.8,5.3,52.5,Yes,353,3,14.5,Medium,8,1
Kamptee Road,Office Washroom,4.9,8.1,51.4,Yes,670,5,1.6,High,9,1
Mihan,Transit Washroom,8.4,2.2,36.4,No,41,4,0.7,Low,8,3
Wardha Road,Public Washroom,6.0,4.2,46.8,Yes,383,6,3.1,Medium,1,1
Civil Lines,Mall Washroom,5.2,7.3,47.1,Yes,539,5,25.0,High,2,2
Manish Nagar,Transit Washroom,5.7,6.1,60.8,No,360,7,6.8,High,2,4
Kamptee Road,Hospital Washroom,4.0,8.6,74.1,Yes,127,6,10.1,High,8,2
Sitabuldi,Public Washroom,4.3,7.8,64.7,No,225,11,1.6,High,3,3
Civil Lines,School Washroom,5.5,7.7,35.1,Yes,416,3,5.6,Medium,3,0
Hingna,Hospital Washroom,3.1,8.4,81.4,Yes,93,5,9.6,High,1,4
Sadar,Hospital Washroom,5.8,4.3,39.0,Yes,491,3,4.5,Medium,8,5
Sitabuldi,Office Washroom,6.1,4.2,30.7,Yes,476,1,5.2,Low,8,0
Manish Nagar,Public Washroom,6.7,3.6,41.7,Yes,744,6,6.1,Medium,3,3
Mihan,Hospital Washroom,8.6,2.5,13.5,No,571,6,21.9,Medium,4,4
Wardha Road,Office Washroom,8.2,2.2,17.4,Yes,558,2,0.6,Low,2,4
Civil Lines,Public Washroom,8.0,3.7,38.8,Yes,390,2,9.2,Low,8,1
Manish Nagar,Public Washroom,6.7,4.2,43.4,No,552,5,7.0,Medium,5,5
Kamptee Road,Transit Washroom,7.9,4.4,35.2,Yes,327,3,17.7,Medium,1,4
Dharampeth,Transit Washroom,6.5,5.2,26.0,Yes,560,4,4.0,Medium,7,5
Wardha Road,Hospital Washroom,5.7,3.1,44.0,Yes,873,5,0.5,Medium,7,5
Nagpur Central,Hospital Washroom,6.4,3.4,53.9,Yes,497,2,0.8,Low,3,1
Sitabuldi,Public Washroom,4.8,3.9,51.5,Yes,474,3,8.9,Medium,4,5
Kamptee Road,School Washroom,5.4,2.6,62.5,Yes,463,4,16.3,Medium,7,3
Manish Nagar,Public Washroom,7.9,3.1,54.3,Yes,191,5,15.1,Medium,6,4
Kamptee Road,Hospital Washroom,7.0,2.7,26.8,No,569,7,3.1,Medium,7,2
Dharampeth,Public Washroom,9.1,2.6,0.0,Yes,102,0,5.9,Low,6,6
Civil Lines,School Washroom,5.7,6.3,29.7,Yes,546,2,4.4,Medium,6,1
Nagpur Central,Office Washroom,7.4,3.0,74.1,No,709,8,3.4,High,3,0
Civil Lines,Office Washroom,8.1,1.3,22.4,Yes,473,0,7.8,Low,1,5
Wardha Road,Mall Washroom,9.9,1.0,0.0,Yes,453,0,5.7,Low,7,3
Sadar,Transit Washroom,5.5,8.8,61.4,Yes,452,8,18.4,High,8,0
Dharampeth,Mall Washroom,8.6,1.8,55.0,Yes,739,5,4.5,Low,8,6
Wardha Road,Transit Washroom,10.0,1.0,1.1,Yes,129,0,2.6,Low,3,1
Mihan,Transit Washroom,7.5,4.1,74.6,Yes,451,6,3.4,Medium,7,2
Sitabuldi,Hospital Washroom,9.1,3.9,33.0,Yes,519,1,4.9,Low,2,5
Sitabuldi,School Washroom,7.4,2.7,23.5,Yes,177,5,11.4,Low,4,5
Dharampeth,Hospital Washroom,2.6,8.4,86.9,Yes,198,9,1.3,High,5,1
Civil Lines,Transit Washroom,5.9,6.2,82.0,Yes,215,4,0.7,Medium,3,5
Civil Lines,Hospital Washroom,8.0,4.6,26.5,Yes,135,3,6.2,Low,1,5
Manish Nagar,School Washroom,6.0,3.7,28.6,Yes,264,2,7.4,Low,5,4
Civil Lines,Office Washroom,6.5,6.9,30.7,Yes,564,3,1.3,Medium,6,2
Kamptee Road,Transit Washroom,7.5,2.7,55.1,Yes,813,1,1.1,Low,7,3
Sadar,Office Washroom,7.5,4.1,45.5,Yes,597,7,0.5,Medium,8,0
Mihan,Hospital Washroom,5.1,7.1,26.0,Yes,477,6,36.0,High,8,4
Manish Nagar,Transit Washroom,5.6,5.4,39.5,Yes,581,6,6.6,Medium,8,5
Hingna,Public Washroom,6.9,4.7,40.2,Yes,410,5,3.9,Medium,1,5
Sitabuldi,Public Washroom,5.3,5.3,49.1,Yes,401,4,10.8,Medium,3,0
Kamptee Road,Public Washroom,10.0,1.0,27.4,Yes,772,1,1.7,Low,7,5
Sitabuldi,School Washroom,7.4,3.8,27.5,Yes,646,2,7.0,Low,6,5
Mihan,Public Washroom,6.2,6.9,44.8,Yes,216,7,5.7,Medium,6,2
Manish Nagar,Mall Washroom,4.5,7.9,79.9,Yes,393,7,9.7,High,8,0
Sitabuldi,Mall Washroom,6.0,5.5,24.3,Yes,377,2,1.4,Low,7,1
Civil Lines,School Washroom,6.4,6.2,40.7,Yes,293,3,4.1,Medium,9,0
Kamptee Road,School Washroom,7.1,5.4,21.7,Yes,526,4,2.9,Medium,9,2
Civil Lines,School Washroom,5.9,5.8,59.8,Yes,324,4,11.1,Medium,5,5
Sadar,Mall Washroom,3.7,7.6,78.5,Yes,522,11,2.6,High,5,3
Hingna,Hospital Washroom,5.9,4.0,29.9,Yes,846,6,2.4,Medium,7,1
Manish Nagar,Mall Washroom,8.4,4.9,19.3,Yes,348,5,3.2,Low,8,5
Nagpur Central,Mall Washroom,5.1,6.0,24.5,Yes,307,3,1.1,Medium,5,1
Nagpur Central,Transit Washroom,4.7,7.1,54.1,Yes,589,7,4.8,High,3,3
Nagpur Central,Public Washroom,7.5,3.4,18.0,Yes,58,2,7.9,Low,5,2
Sitabuldi,Public Washroom,4.8,5.7,50.5,Yes,465,5,19.1,High,8,6
Wardha Road,Hospital Washroom,8.3,2.7,0.0,No,444,5,19.5,Medium,2,1
Sadar,Public Washroom,6.2,3.0,51.9,Yes,520,4,5.3,Medium,5,2
Sitabuldi,Transit Washroom,4.9,7.9,44.6,Yes,148,5,3.1,Medium,4,3
Sitabuldi,School Washroom,9.1,3.6,0.0,Yes,336,1,8.3,Low,4,6
Manish Nagar,Mall Washroom,5.8,6.1,49.1,Yes,590,4,23.1,High,1,1
Dharampeth,Mall Washroom,9.3,1.1,26.2,Yes,303,1,8.7,Low,6,1
Kamptee Road,School Washroom,7.8,2.7,24.4,Yes,327,2,1.2,Low,8,5
Kamptee Road,School Washroom,3.8,7.3,42.6,Yes,454,4,6.8,High,2,2
Wardha Road,Transit Washroom,4.6,6.2,66.5,Yes,376,6,17.5,High,3,3
Mihan,Office Washroom,8.7,1.0,31.3,Yes,20,1,4.4,Low,1,3
Civil Lines,Public Washroom,4.3,6.6,77.9,Yes,516,4,9.6,High,4,2
Nagpur Central,Hospital Washroom,8.5,3.6,29.1,Yes,943,3,0.5,Low,8,6
Hingna,Public Washroom,3.7,8.5,72.5,Yes,20,8,4.1,High,7,0
Kamptee Road,Office Washroom,6.3,3.9,26.5,Yes,314,2,1.5,Low,7,1
Sadar,School Washroom,6.2,3.9,49.2,Yes,431,2,8.4,Medium,4,1
Civil Lines,Public Washroom,5.8,4.6,59.1,No,413,7,12.4,High,8,0
Sadar,Transit Washroom,6.4,5.1,31.8,Yes,296,4,15.4,Medium,8,3
Civil Lines,Transit Washroom,7.0,4.5,66.4,Yes,248,4,12.7,Medium,6,5
Hingna,Transit Washroom,6.9,1.7,42.3,No,878,6,5.5,Medium,3,1
Hingna,Office Washroom,7.2,1.0,38.2,No,246,3,2.9,Medium,8,6
Kamptee Road,School Washroom,6.0,5.8,37.9,Yes,391,5,14.6,Medium,1,4
Wardha Road,Public Washroom,8.1,4.5,25.5,Yes,436,4,7.8,Low,8,2
Mihan,Office Washroom,2.9,7.6,88.8,Yes,498,10,0.5,High,4,2
Mihan,Office Washroom,7.9,3.9,21.7,No,945,7,24.5,High,3,0
Manish Nagar,Hospital Washroom,5.4,3.7,45.2,Yes,528,3,2.5,Medium,6,6
Wardha Road,Hospital Washroom,7.0,2.5,37.7,Yes,676,3,13.7,Medium,4,2
Sadar,Hospital Washroom,4.3,7.6,64.7,Yes,551,5,20.5,High,3,4
Mihan,School Washroom,5.5,5.7,70.5,Yes,20,4,3.1,Medium,9,1
Kamptee Road,Public Washroom,8.1,4.9,40.0,Yes,736,2,18.7,Medium,1,5
Dharampeth,Mall Washroom,5.7,5.6,46.0,Yes,453,5,1.1,Medium,4,2
Nagpur Central,Transit Washroom,7.2,4.5,32.4,Yes,451,5,20.4,Medium,1,4
Sitabuldi,Public Washroom,4.9,5.9,57.2,Yes,336,9,0.5,High,8,6
Mihan,Transit Washroom,8.4,1.8,27.5,Yes,735,3,3.3,Low,7,0
Dharampeth,School Washroom,5.7,5.4,72.3,Yes,472,5,35.9,High,1,5
Kamptee Road,Public Washroom,4.7,7.4,61.5,Yes,440,4,5.2,High,2,2
Kamptee Road,Transit Washroom,7.7,3.7,62.6,Yes,270,3,19.3,Medium,5,6
Manish Nagar,Office Washroom,5.7,4.6,52.2,Yes,398,6,1.2,Medium,2,0
Dharampeth,Transit Washroom,3.2,6.3,66.1,Yes,308,5,3.6,High,3,4
Nagpur Central,Mall Washroom,6.4,3.4,52.7,Yes,522,3,7.0,Medium,6,2
Dharampeth,Transit Washroom,4.7,5.7,100.0,Yes,106,9,4.2,High,7,1
Dharampeth,Public Washroom,6.0,5.9,57.9,Yes,507,6,11.5,High,7,5
Kamptee Road,Transit Washroom,8.0,4.1,30.4,Yes,415,4,1.6,Low,8,1
Hingna,Public Washroom,5.5,5.5,67.5,Yes,579,6,11.5,High,7,4
Sitabuldi,Hospital Washroom,6.2,4.5,28.5,No,442,9,8.7,High,3,5
Mihan,Transit Washroom,5.7,6.7,64.5,Yes,520,7,5.0,High,5,3
Wardha Road,School Washroom,7.1,2.8,27.7,Yes,650,3,13.8,Medium,7,1
Sitabuldi,School Washroom,4.6,8.5,84.6,Yes,20,7,2.9,High,6,2
Manish Nagar,School Washroom,6.0,6.1,45.7,Yes,142,4,2.1,Medium,7,6
Mihan,Hospital Washroom,3.5,9.8,85.4,Yes,1148,11,10.9,High,4,5
Sadar,Hospital Washroom,6.9,4.3,35.3,Yes,521,2,1.1,Low,6,4
Kamptee Road,Public Washroom,4.8,4.5,60.1,No,346,7,4.9,High,8,0
Wardha Road,Office Washroom,7.7,3.6,19.9,No,124,5,0.7,Medium,5,4
Dharampeth,Hospital Washroom,6.1,4.6,68.0,Yes,395,6,10.5,Medium,1,1
Civil Lines,Mall Washroom,6.0,5.4,70.8,Yes,370,4,3.5,Medium,8,2
Wardha Road,Hospital Washroom,4.7,6.3,66.2,Yes,445,9,24.5,High,3,5
Wardha Road,Public Washroom,9.4,1.0,37.8,Yes,372,2,9.6,Low,8,3
Kamptee Road,Office Washroom,5.3,8.0,74.7,Yes,713,9,8.5,High,5,1
Hingna,School Washroom,10.0,1.0,8.0,Yes,47,1,7.5,Low,4,0
Civil Lines,Public Washroom,9.0,2.3,27.1,Yes,708,3,9.1,Low,2,0
Kamptee Road,Mall Washroom,9.5,2.0,0.0,Yes,465,2,8.3,Low,9,1
Civil Lines,Transit Washroom,5.7,6.5,45.3,Yes,497,6,4.6,Medium,6,1
Hingna,Transit Washroom,8.9,2.7,25.7,Yes,382,3,8.9,Low,7,5
Manish Nagar,Office Washroom,7.6,4.4,41.4,Yes,717,6,7.8,Medium,9,1
Hingna,Transit Washroom,6.4,5.6,69.2,Yes,789,3,5.0,Medium,4,4
Manish Nagar,Public Washroom,4.2,6.7,58.4,Yes,220,6,5.0,High,4,3
Civil Lines,Public Washroom,6.6,4.1,59.8,Yes,80,4,10.9,Medium,2,4
Dharampeth,Mall Washroom,6.1,6.5,64.6,Yes,414,4,10.7,Medium,8,3
Mihan,Public Washroom,6.9,5.1,19.4,Yes,670,4,3.2,Medium,2,5
Sadar,Office Washroom,6.6,3.5,49.5,Yes,158,3,9.3,Medium,3,4
Manish Nagar,Transit Washroom,5.6,6.0,34.5,Yes,320,4,29.0,High,5,5
Sitabuldi,Mall Washroom,6.0,7.6,69.0,Yes,399,6,24.7,High,5,4
Sitabuldi,Transit Washroom,2.2,9.5,74.3,Yes,606,6,8.5,High,9,1
Mihan,School Washroom,4.6,5.0,56.7,Yes,491,4,11.0,Medium,7,2
Dharampeth,Transit Washroom,8.2,2.8,29.1,Yes,391,0,4.6,Low,7,4
Wardha Road,Mall Washroom,2.4,10.0,87.8,Yes,200,7,2.5,High,9,6
Mihan,School Washroom,6.1,4.9,42.8,Yes,450,4,19.9,Medium,3,6
Dharampeth,Mall Washroom,10.0,1.0,18.3,Yes,751,3,7.9,Low,5,3
Hingna,Mall Washroom,10.0,1.0,16.5,Yes,387,0,7.4,Low,4,3
Dharampeth,School Washroom,7.1,4.2,39.4,Yes,516,4,5.5,Medium,6,3
Manish Nagar,Office Washroom,6.5,4.0,28.5,Yes,767,6,0.8,Medium,7,2
Mihan,Hospital Washroom,3.8,8.8,81.9,Yes,206,5,0.5,High,3,3
Dharampeth,Office Washroom,5.4,5.3,34.0,Yes,145,5,14.7,Medium,2,5
Nagpur Central,Mall Washroom,6.4,2.9,17.6,Yes,806,4,1.1,Low,5,1
Mihan,School Washroom,7.2,4.4,30.5,Yes,512,5,7.8,Medium,5,6
Wardha Road,Transit Washroom,8.1,3.9,14.8,No,279,6,32.5,High,8,1
Sadar,Public Washroom,6.0,4.1,26.3,No,435,7,0.5,Medium,5,4
Manish Nagar,Public Washroom,10.0,1.0,2.8,Yes,538,0,10.9,Low,3,4
Manish Nagar,Mall Washroom,7.3,3.1,51.9,Yes,527,2,3.7,Low,2,1
Dharampeth,Public Washroom,2.1,10.0,83.8,No,594,11,0.9,High,3,1
Sitabuldi,Hospital Washroom,6.0,4.5,27.0,Yes,686,4,11.5,Medium,5,2
Manish Nagar,Mall Washroom,8.7,3.9,20.3,Yes,885,3,0.5,Low,2,0
Wardha Road,Office Washroom,5.0,7.8,53.9,Yes,355,6,14.7,High,3,4
Nagpur Central,School Washroom,6.4,5.2,24.3,Yes,272,6,5.3,Medium,5,2
Sadar,Hospital Washroom,7.4,1.7,59.1,Yes,487,3,12.2,Medium,8,0
Kamptee Road,Public Washroom,6.4,7.5,33.3,Yes,802,5,1.0,Medium,4,5
Nagpur Central,Hospital Washroom,5.8,5.7,48.3,Yes,344,8,3.0,Medium,8,5
Kamptee Road,Office Washroom,7.1,5.5,31.6,Yes,719,2,6.7,Medium,4,5
Wardha Road,Public Washroom,6.5,6.3,69.9,Yes,127,4,8.9,Medium,1,0
Manish Nagar,Public Washroom,6.5,3.2,42.6,Yes,241,0,30.6,Medium,3,5
Civil Lines,Public Washroom,8.7,3.2,26.5,Yes,30,3,4.6,Low,2,4
Hingna,Mall Washroom,3.7,7.2,53.9,Yes,611,8,8.1,High,6,3
Sitabuldi,Public Washroom,7.6,4.0,22.8,Yes,484,7,1.1,Low,2,2
Dharampeth,Office Washroom,7.5,4.8,20.1,No,581,6,1.7,Medium,3,1
Dharampeth,Mall Washroom,7.8,3.6,20.6,Yes,308,2,14.6,Low,3,1
Kamptee Road,Mall Washroom,6.4,5.8,23.4,Yes,402,5,35.1,High,8,3
Sitabuldi,Office Washroom,6.8,3.6,38.9,Yes,460,3,0.5,Low,4,4
Sadar,Mall Washroom,7.2,2.7,23.4,Yes,198,3,2.2,Low,2,1
Nagpur Central,Office Washroom,6.0,4.4,50.6,No,524,6,0.5,High,8,1
Manish Nagar,School Washroom,8.2,2.2,25.6,Yes,175,0,4.2,Low,5,3
Nagpur Central,Public Washroom,9.7,1.6,12.2,Yes,434,2,4.0,Low,9,3
Wardha Road,School Washroom,6.2,5.5,55.3,Yes,864,6,7.5,Medium,7,2
Civil Lines,Office Washroom,3.2,6.4,44.0,No,211,9,1.5,High,6,5
